starttime,stoptime,startstationid,startstationname,startstationlatitude,startstationlongitude,endstationid,endstationname,endstationlatitude,endstationlongitude,bikeid
10/3/2024 19:16,10/3/2024 22:32,Ams,Amsterdam Amstel,52.346587,4.918684,GV,The Hague Hollands Spoor,52.070833,4.322222,1501
10/1/2024 0:25,10/3/2024 20:55,Asd,Amsterdam Centraal,52.379189,4.899431,Uto,Utrecht Overvecht,52.113333,5.111111,1387
10/3/2024 18:19,10/4/2024 8:31,GV,The Hague Hollands Spoor,52.070833,4.322222,Ams,Amsterdam Amstel,52.346587,4.918684,1548
10/3/2024 22:29,10/4/2024 20:12,Nm,Nijmegen Station,51.841111,5.854167,Rtd,Rotterdam Centraal,51.9225,4.467167,1498
10/3/2024 16:59,10/4/2024 23:50,Ams,Amsterdam Amstel,52.346587,4.918684,Asd,Amsterdam Centraal,52.379189,4.899431,1448
10/1/2024 4:38,10/3/2024 16:53,GV,The Hague Hollands Spoor,52.070833,4.322222,Uto,Utrecht Overvecht,52.113333,5.111111,1188
10/4/2024 16:59,10/4/2024 18:55,Ut,Utrecht Centraal,52.089444,5.110278,Nm,Nijmegen Station,51.841111,5.854167,1928
10/2/2024 15:27,10/4/2024 22:15,Rtb,Rotterdam Blaak,51.920582,4.486082,Asd,Amsterdam Centraal,52.379189,4.899431,1428
10/3/2024 15:37,10/3/2024 18:59,Nm,Nijmegen Station,51.841111,5.854167,Asdz,Amsterdam Zuid,52.338602,4.871978,1487
10/3/2024 12:09,10/3/2024 14:22,Ams,Amsterdam Amstel,52.346587,4.918684,GV,The Hague Hollands Spoor,52.070833,4.322222,1005
10/2/2024 18:21,10/3/2024 4:23,GV,The Hague Hollands Spoor,52.070833,4.322222,Ah,Arnhem Centraal,51.985,5.898611,1474
10/1/2024 2:16,10/2/2024 8:17,Nm,Nijmegen Station,51.841111,5.854167,Ams,Amsterdam Amstel,52.346587,4.918684,1033
10/4/2024 6:37,10/4/2024 7:48,Uto,Utrecht Overvecht,52.113333,5.111111,Rtb,Rotterdam Blaak,51.920582,4.486082,1151
10/2/2024 23:43,10/4/2024 15:51,Ut,Utrecht Centraal,52.089444,5.110278,GV,The Hague Hollands Spoor,52.070833,4.322222,1878
10/1/2024 17:27,10/2/2024 18:09,Ams,Amsterdam Amstel,52.346587,4.918684,Asd,Amsterdam Centraal,52.379189,4.899431,1987
10/4/2024 1:13,10/4/2024 3:05,Asd,Amsterdam Centraal,52.379189,4.899431,Nm,Nijmegen Station,51.841111,5.854167,1099
10/2/2024 0:42,10/3/2024 7:39,Ams,Amsterdam Amstel,52.346587,4.918684,Uto,Utrecht Overvecht,52.113333,5.111111,1693
10/4/2024 13:52,10/4/2024 21:55,Rtb,Rotterdam Blaak,51.920582,4.486082,Ut,Utrecht Centraal,52.089444,5.110278,1252
10/2/2024 1:36,10/4/2024 23:09,Nm,Nijmegen Station,51.841111,5.854167,GV,The Hague Hollands Spoor,52.070833,4.322222,1069
10/4/2024 23:28,10/4/2024 23:48,Ah,Arnhem Centraal,51.985,5.898611,Ams,Amsterdam Amstel,52.346587,4.918684,1292
10/2/2024 16:47,10/4/2024 22:49,Ah,Arnhem Centraal,51.985,5.898611,Ut,Utrecht Centraal,52.089444,5.110278,1144
10/4/2024 10:43,10/4/2024 19:44,Ams,Amsterdam Amstel,52.346587,4.918684,Asdz,Amsterdam Zuid,52.338602,4.871978,1260
10/4/2024 23:55,10/4/2024 23:59,Rtd,Rotterdam Centraal,51.9225,4.467167,Asdz,Amsterdam Zuid,52.338602,4.871978,1691
10/3/2024 6:07,10/4/2024 14:48,Uto,Utrecht Overvecht,52.113333,5.111111,Asd,Amsterdam Centraal,52.379189,4.899431,1584
10/2/2024 13:51,10/2/2024 16:40,Ams,Amsterdam Amstel,52.346587,4.918684,Rtb,Rotterdam Blaak,51.920582,4.486082,1856
10/3/2024 16:35,10/4/2024 22:59,Uto,Utrecht Overvecht,52.113333,5.111111,Gvc,The Hague Centraal,52.084167,4.324722,1034
10/3/2024 4:21,10/4/2024 15:41,Ut,Utrecht Centraal,52.089444,5.110278,Nm,Nijmegen Station,51.841111,5.854167,1278
10/4/2024 10:46,10/4/2024 19:55,Rtd,Rotterdam Centraal,51.9225,4.467167,Ams,Amsterdam Amstel,52.346587,4.918684,1754
10/1/2024 21:03,10/2/2024 14:23,Nm,Nijmegen Station,51.841111,5.854167,Asdz,Amsterdam Zuid,52.338602,4.871978,1067
10/3/2024 3:57,10/4/2024 13:06,Ah,Arnhem Centraal,51.985,5.898611,Uto,Utrecht Overvecht,52.113333,5.111111,1209
10/3/2024 3:26,10/3/2024 15:15,Uto,Utrecht Overvecht,52.113333,5.111111,Rtd,Rotterdam Centraal,51.9225,4.467167,1283
10/2/2024 7:21,10/2/2024 22:38,Ut,Utrecht Centraal,52.089444,5.110278,Uto,Utrecht Overvecht,52.113333,5.111111,1954
10/1/2024 11:16,10/1/2024 12:08,Ams,Amsterdam Amstel,52.346587,4.918684,Ah,Arnhem Centraal,51.985,5.898611,1750
10/1/2024 12:20,10/3/2024 1:25,Ams,Amsterdam Amstel,52.346587,4.918684,Rtd,Rotterdam Centraal,51.9225,4.467167,1687
10/1/2024 1:37,10/3/2024 11:29,Ams,Amsterdam Amstel,52.346587,4.918684,Asdz,Amsterdam Zuid,52.338602,4.871978,1004
10/4/2024 18:18,10/4/2024 19:41,GV,The Hague Hollands Spoor,52.070833,4.322222,Ah,Arnhem Centraal,51.985,5.898611,1450
10/2/2024 13:55,10/4/2024 3:30,Rtd,Rotterdam Centraal,51.9225,4.467167,Ut,Utrecht Centraal,52.089444,5.110278,1175
10/4/2024 10:22,10/4/2024 16:48,Asd,Amsterdam Centraal,52.379189,4.899431,GV,The Hague Hollands Spoor,52.070833,4.322222,1388
10/2/2024 20:58,10/2/2024 23:54,Ut,Utrecht Centraal,52.089444,5.110278,Rtd,Rotterdam Centraal,51.9225,4.467167,1912
10/3/2024 17:18,10/4/2024 3:25,Rtb,Rotterdam Blaak,51.920582,4.486082,Gvc,The Hague Centraal,52.084167,4.324722,1358
10/2/2024 15:06,10/4/2024 21:28,Nm,Nijmegen Station,51.841111,5.854167,Asdz,Amsterdam Zuid,52.338602,4.871978,1909
10/2/2024 1:17,10/4/2024 12:04,GV,The Hague Hollands Spoor,52.070833,4.322222,Asdz,Amsterdam Zuid,52.338602,4.871978,1044
10/3/2024 22:19,10/4/2024 14:07,Ut,Utrecht Centraal,52.089444,5.110278,Gvc,The Hague Centraal,52.084167,4.324722,1863
10/1/2024 18:25,10/4/2024 5:03,Asdz,Amsterdam Zuid,52.338602,4.871978,GV,The Hague Hollands Spoor,52.070833,4.322222,1752
10/4/2024 2:41,10/4/2024 14:25,Ah,Arnhem Centraal,51.985,5.898611,Asd,Amsterdam Centraal,52.379189,4.899431,1119
10/3/2024 0:28,10/3/2024 13:19,Nm,Nijmegen Station,51.841111,5.854167,Uto,Utrecht Overvecht,52.113333,5.111111,1616
