tripduration,starttime,stoptime,startstationid,startstationname,startstationlatitude,startstationlongitude,endstationid,endstationname,endstationlatitude,endstationlongitude,bikeid
370,10/1/2024 0:10,10/1/2024 0:17,Ut,Utrecht Centraal,52.089444,5.110278,117,Binney St / Sixth St,42.366095,-71.086388,703
444,10/1/2024 0:30,10/1/2024 0:37,Asdz,Amsterdam Zuid,52.338602,4.871978,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,1276
484,10/1/2024 0:37,10/1/2024 0:45,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,906
476,10/1/2024 0:52,10/1/2024 1:00,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,932
1437,10/1/2024 1:11,10/1/2024 1:35,Uto,Utrecht Overvecht,52.113333,5.111111,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,637
217,10/1/2024 1:36,10/1/2024 1:40,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919032,-71.11714125,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,718
482,10/1/2024 5:19,10/1/2024 5:27,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,1300
524,10/1/2024 8:53,10/1/2024 9:02,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,143,EF - North Point Park,42.369885,-71.069957,1273
522,10/1/2024 8:53,10/1/2024 9:02,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,143,EF - North Point Park,42.369885,-71.069957,966
433,10/1/2024 9:24,10/1/2024 9:31,141,Kendall Street,42.36356016,-71.08216792,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,679
164,10/1/2024 9:25,10/1/2024 9:27,GV,The Hague Hollands Spoor,52.070833,4.322222,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,1072
416,10/1/2024 9:33,10/1/2024 9:40,Ut,Utrecht Centraal,52.089444,5.110278,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1312
376,10/1/2024 10:01,10/1/2024 10:07,Ut,Utrecht Centraal,52.089444,5.110278,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1003
712,10/1/2024 10:06,10/1/2024 10:18,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,640
277,10/1/2024 10:51,10/1/2024 10:56,Uto,Utrecht Overvecht,52.113333,5.111111,107,Ames St at Main St,42.3625,-71.08822,1293
474,10/1/2024 10:52,10/1/2024 11:00,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,1047
