tripduration,starttime,stoptime,startstationid,startstationname,startstationlatitude,startstationlongitude,endstationid,endstationname,endstationlatitude,endstationlongitude,bikeid,usertype,birthyear,gender
370,2/1/2015 0:10,2/1/2015 0:17,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,117,Binney St / Sixth St,42.366095,-71.086388,703,Subscriber,1984,1
444,2/1/2015 0:30,2/1/2015 0:37,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,1276,Subscriber,1988,1
484,2/1/2015 0:37,2/1/2015 0:45,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,906,Subscriber,1986,1
476,2/1/2015 0:52,2/1/2015 1:00,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,932,Subscriber,1988,1
1437,2/1/2015 1:11,2/1/2015 1:35,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,637,Subscriber,1964,1
217,2/1/2015 1:36,2/1/2015 1:40,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919032,-71.11714125,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,718,Subscriber,1982,1
482,2/1/2015 5:19,2/1/2015 5:27,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,1300,Subscriber,1985,2
524,2/1/2015 8:53,2/1/2015 9:02,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,143,EF - North Point Park,42.369885,-71.069957,1273,Subscriber,1969,1
522,2/1/2015 8:53,2/1/2015 9:02,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,143,EF - North Point Park,42.369885,-71.069957,966,Customer,1976,2
433,2/1/2015 9:24,2/1/2015 9:31,141,Kendall Street,42.36356016,-71.08216792,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,679,Subscriber,1988,1
164,2/1/2015 9:25,2/1/2015 9:27,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,1072,Subscriber,1988,2
416,2/1/2015 9:33,2/1/2015 9:40,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1312,Subscriber,1978,2
376,2/1/2015 10:01,2/1/2015 10:07,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1003,Subscriber,1986,1
712,2/1/2015 10:06,2/1/2015 10:18,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,640,Subscriber,1985,2
277,2/1/2015 10:51,2/1/2015 10:56,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,107,Ames St at Main St,42.3625,-71.08822,1293,Subscriber,1992,2
474,2/1/2015 10:52,2/1/2015 11:00,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,1047,Customer,1962,2
248,2/1/2015 10:53,2/1/2015 10:57,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,768,Customer,1991,1
331,2/1/2015 10:54,2/1/2015 10:59,107,Ames St at Main St,42.3625,-71.08822,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,908,Subscriber,1987,1
581,2/1/2015 11:26,2/1/2015 11:36,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,886,Subscriber,1989,1
579,2/1/2015 11:26,2/1/2015 11:36,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,141,Kendall Street,42.36356016,-71.08216792,742,Subscriber,1984,1
183,2/1/2015 11:32,2/1/2015 11:35,117,Binney St / Sixth St,42.366095,-71.086388,107,Ames St at Main St,42.3625,-71.08822,1140,Subscriber,1989,1
340,2/1/2015 11:47,2/1/2015 11:53,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,706,Customer,1968,1
253,2/1/2015 11:52,2/1/2015 11:56,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,107,Ames St at Main St,42.3625,-71.08822,1011,Subscriber,1991,1
239,2/1/2015 11:59,2/1/2015 12:03,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,895,Subscriber,1990,1
1027,2/1/2015 12:19,2/1/2015 12:36,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,1003,Subscriber,1987,1
422,2/1/2015 12:27,2/1/2015 12:34,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,866,Subscriber,1989,1
486,2/1/2015 12:33,2/1/2015 12:41,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,1047,Customer,1962,2
419,2/1/2015 12:37,2/1/2015 12:44,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1070,Subscriber,1991,1
398,2/1/2015 12:42,2/1/2015 12:49,141,Kendall Street,42.36356016,-71.08216792,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,742,Subscriber,1987,1
687,2/1/2015 12:50,2/1/2015 13:01,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,690,Subscriber,1986,1
320,2/1/2015 12:54,2/1/2015 12:59,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,107,Ames St at Main St,42.3625,-71.08822,891,Subscriber,1996,2
179,2/1/2015 12:56,2/1/2015 12:59,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,816,Subscriber,1991,2
411,2/1/2015 12:57,2/1/2015 13:04,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,706,Customer,1984,1
305,2/1/2015 12:58,2/1/2015 13:03,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,756,Subscriber,1980,2
569,2/1/2015 13:12,2/1/2015 13:22,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,865,Subscriber,1986,1
327,2/1/2015 13:14,2/1/2015 13:19,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,1306,Subscriber,1990,2
418,2/1/2015 13:14,2/1/2015 13:21,107,Ames St at Main St,42.3625,-71.08822,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,1097,Subscriber,1986,2
243,2/1/2015 13:16,2/1/2015 13:20,107,Ames St at Main St,42.3625,-71.08822,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,650,Subscriber,1988,1
374,2/1/2015 13:26,2/1/2015 13:33,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,874,Subscriber,1987,2
798,2/1/2015 12:53,2/1/2015 13:06,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,874,Subscriber,1987,2
313,2/1/2015 13:32,2/1/2015 13:37,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,1295,Customer,1978,1
177,2/1/2015 13:35,2/1/2015 13:38,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,107,Ames St at Main St,42.3625,-71.08822,640,Subscriber,1987,1
763,2/1/2015 13:53,2/1/2015 14:05,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,842,Subscriber,\N,0
375,2/1/2015 13:58,2/1/2015 14:04,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,866,Customer,1978,1
417,2/1/2015 13:58,2/1/2015 14:05,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,639,Subscriber,1984,1
431,2/1/2015 13:59,2/1/2015 14:07,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,768,Customer,1991,1
186,2/1/2015 13:59,2/1/2015 14:02,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,736,Subscriber,1983,1
728,2/1/2015 14:00,2/1/2015 14:12,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,650,Customer,1983,1
1300,2/1/2015 14:04,2/1/2015 14:25,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,637,Subscriber,1964,1
196,2/1/2015 14:10,2/1/2015 14:13,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,143,EF - North Point Park,42.369885,-71.069957,1046,Subscriber,1986,2
