starttime,stoptime,startstationid,startstationname,startstationlatitude,startstationlongitude,endstationid,endstationname,endstationlatitude,endstationlongitude,bikeid
10-03-2024 19:16:17,10-03-2024 22:32:59,Ams,Amsterdam Amstel,52.346587,4.918684,GV,The Hague Hollands Spoor,52.070833,4.322222,1501
10-01-2024 00:25:15,10-03-2024 20:55:00,Asd,Amsterdam Centraal,52.379189,4.899431,Uto,Utrecht Overvecht,52.113333,5.111111,1387
10-03-2024 18:19:04,10-04-2024 08:31:43,GV,The Hague Hollands Spoor,52.070833,4.322222,Ams,Amsterdam Amstel,52.346587,4.918684,1548
10-03-2024 22:29:29,10-04-2024 20:12:47,Nm,Nijmegen Station,51.841111,5.854167,Rtd,Rotterdam Centraal,51.9225,4.467167,1498
10-03-2024 16:59:11,10-04-2024 23:50:18,Ams,Amsterdam Amstel,52.346587,4.918684,Asd,Amsterdam Centraal,52.379189,4.899431,1448
10-01-2024 04:38:16,10-03-2024 16:53:46,GV,The Hague Hollands Spoor,52.070833,4.322222,Uto,Utrecht Overvecht,52.113333,5.111111,1188
10-04-2024 16:59:51,10-04-2024 18:55:34,Ut,Utrecht Centraal,52.089444,5.110278,Nm,Nijmegen Station,51.841111,5.854167,1928
10-02-2024 15:27:21,10-04-2024 22:15:45,Rtb,Rotterdam Blaak,51.920582,4.486082,Asd,Amsterdam Centraal,52.379189,4.899431,1428
10-03-2024 15:37:25,10-03-2024 18:59:41,Nm,Nijmegen Station,51.841111,5.854167,Asdz,Amsterdam Zuid,52.338602,4.871978,1487
10-03-2024 12:09:57,10-03-2024 14:22:33,Ams,Amsterdam Amstel,52.346587,4.918684,GV,The Hague Hollands Spoor,52.070833,4.322222,1005
10-02-2024 18:21:01,10-03-2024 04:23:08,GV,The Hague Hollands Spoor,52.070833,4.322222,Ah,Arnhem Centraal,51.985,5.898611,1474
10-01-2024 02:16:07,10-02-2024 08:17:02,Nm,Nijmegen Station,51.841111,5.854167,Ams,Amsterdam Amstel,52.346587,4.918684,1033
10-04-2024 06:37:43,10-04-2024 07:48:01,Uto,Utrecht Overvecht,52.113333,5.111111,Rtb,Rotterdam Blaak,51.920582,4.486082,1151
10-02-2024 23:43:05,10-04-2024 15:51:51,Ut,Utrecht Centraal,52.089444,5.110278,GV,The Hague Hollands Spoor,52.070833,4.322222,1878
10-01-2024 17:27:52,10-02-2024 18:09:50,Ams,Amsterdam Amstel,52.346587,4.918684,Asd,Amsterdam Centraal,52.379189,4.899431,1987
10-04-2024 01:13:50,10-04-2024 03:05:37,Asd,Amsterdam Centraal,52.379189,4.899431,Nm,Nijmegen Station,51.841111,5.854167,1099
10-02-2024 00:42:15,10-03-2024 07:39:04,Ams,Amsterdam Amstel,52.346587,4.918684,Uto,Utrecht Overvecht,52.113333,5.111111,1693
10-04-2024 13:52:32,10-04-2024 21:55:56,Rtb,Rotterdam Blaak,51.920582,4.486082,Ut,Utrecht Centraal,52.089444,5.110278,1252
10-02-2024 01:36:05,10-04-2024 23:09:41,Nm,Nijmegen Station,51.841111,5.854167,GV,The Hague Hollands Spoor,52.070833,4.322222,1069
10-04-2024 23:28:44,10-04-2024 23:48:45,Ah,Arnhem Centraal,51.985,5.898611,Ams,Amsterdam Amstel,52.346587,4.918684,1292
10-02-2024 16:47:35,10-04-2024 22:49:35,Ah,Arnhem Centraal,51.985,5.898611,Ut,Utrecht Centraal,52.089444,5.110278,1144
10-04-2024 10:43:46,10-04-2024 19:44:00,Ams,Amsterdam Amstel,52.346587,4.918684,Asdz,Amsterdam Zuid,52.338602,4.871978,1260
