"startStationID","startStationName","startstationlatitude","startstationlongitude","endstationid","endstationname","endstationlatitude","endstationlongitude","bikeid"
"Asd","Amsterdam Centraal","52.379189","4.899431","Ut","Utrecht Centraal","52.089444","5.110278","1440"
"Rtd","Rotterdam Centraal","51.9225","4.467167","Gvc","The Hague Centraal","52.084167","4.324722","1560"
"GV","The Hague Hollands Spoor","52.070833","4.322222","Rtb","Rotterdam Blaak","51.920582","4.486082","1730"
"Ah","Arnhem Centraal","51.985","5.898611","Gvc","The Hague Centraal","52.084167","4.324722","1517"
"Asdz","Amsterdam Zuid","52.338602","4.871978","Rtb","Rotterdam Blaak","51.920582","4.486082","1198"
"Asdz","Amsterdam Zuid","52.338602","4.871978","Ah","Arnhem Centraal","51.985","5.898611","1945"
"Ah","Arnhem Centraal","51.985","5.898611","Ut","Utrecht Centraal","52.089444","5.110278","1293"
"Ah","Arnhem Centraal","51.985","5.898611","Asdz","Amsterdam Zuid","52.338602","4.871978","1110"
"Nm","Nijmegen Station","51.841111","5.854167","GV","The Hague Hollands Spoor","52.070833","4.322222","1868"
"Nm","Nijmegen Station","51.841111","5.854167","Ut","Utrecht Centraal","52.089444","5.110278","1605"
"GV","The Hague Hollands Spoor","52.070833","4.322222","Ut","Utrecht Centraal","52.089444","5.110278","1853"
"Asdz","Amsterdam Zuid","52.338602","4.871978","Uto","Utrecht Overvecht","52.113333","5.111111","1488"
"Ams","Amsterdam Amstel","52.346587","4.918684","Ah","Arnhem Centraal","51.985","5.898611","1660"
"Gvc","The Hague Centraal","52.084167","4.324722","Rtd","Rotterdam Centraal","51.9225","4.467167","1199"
"Nm","Nijmegen Station","51.841111","5.854167","Asdz","Amsterdam Zuid","52.338602","4.871978","1652"
"Ams","Amsterdam Amstel","52.346587","4.918684","Nm","Nijmegen Station","51.841111","5.854167","1597"
"Rtb","Rotterdam Blaak","51.920582","4.486082","Ams","Amsterdam Amstel","52.346587","4.918684","1914"
"Gvc","The Hague Centraal","52.084167","4.324722","GV","The Hague Hollands Spoor","52.070833","4.322222","1727"
"Gvc","The Hague Centraal","52.084167","4.324722","GV","The Hague Hollands Spoor","52.070833","4.322222","1800"
"Nm","Nijmegen Station","51.841111","5.854167","Ut","Utrecht Centraal","52.089444","5.110278","1513"
"Gvc","The Hague Centraal","52.084167","4.324722","Rtd","Rotterdam Centraal","51.9225","4.467167","1724"
"Rtb","Rotterdam Blaak","51.920582","4.486082","Uto","Utrecht Overvecht","52.113333","5.111111","1299"
"Uto","Utrecht Overvecht","52.113333","5.111111","Gvc","The Hague Centraal","52.084167","4.324722","1815"
"Asd","Amsterdam Centraal","52.379189","4.899431","Asdz","Amsterdam Zuid","52.338602","4.871978","1226"
"Gvc","The Hague Centraal","52.084167","4.324722","Nm","Nijmegen Station","51.841111","5.854167","1291"
"Ams","Amsterdam Amstel","52.346587","4.918684","Asdz","Amsterdam Zuid","52.338602","4.871978","1219"
"Asdz","Amsterdam Zuid","52.338602","4.871978","Gvc","The Hague Centraal","52.084167","4.324722","1853"
"Ut","Utrecht Centraal","52.089444","5.110278","Uto","Utrecht Overvecht","52.113333","5.111111","1372"
"Asd","Amsterdam Centraal","52.379189","4.899431","Gvc","The Hague Centraal","52.084167","4.324722","1570"
